"","value"
"1","country"
"2","atlanta"
"3","alternative country"
"4","hip-hop"
"5","trap"
"6","memes"
"7","remix"
"8","country rap"
"9","rap"
"10","pop"
"11","dark pop"
"12","house"
"13","alternative dance"
"14","alternative"
"15","alternative pop"
"16","dance-pop"
"17","dance"
"18","electro-pop"
"19","electro"
"20","synth-pop"
"21","canada"
"22","uk"
"23","boy band"
"24","teen pop"
"25","pop-rock"
"26","east coast"
"27","basketball"
"28","nba"
"29","alternative r&;b"
"30","dmv"
"31","r&;b"
"32","disney"
"33","marvel"
"34","soundtrack"
"35","lgbtq+"
"36","ballad"
"37","electronic pop"
"38","electronic"
"39","jazz fusion"
"40","adult alternative"
"41","producer"
"42","alternative rock"
"43","adult contemporary"
"44","future bass"
"45","dream-pop"
"46","bubblegum pop"
"47","rock"
"48","power pop"
"49","classical crossover"
"50","motown"
"51","latin pop"
"52","dancehall"
"53","reggaeton"
"54","en espa\xc3\xb1ol"
"55","latin urban"
"56","latin music"
"57","west coast"
"58","pop country"
"59","folk"
"60","musicals"
"61","screen"
"62","hardcore hip-hop"
"63","experimental"
"64","neo soul"
"65","neo-psychedelia"
"66","psychedelic"
"67","trip-hop"
"68","lo-fi"
"69","pop-punk"
"70","puerto rico"
"71","australia"
"72","soul pop"
"73","edm"
"74","electro house"
"75","bounce"
"76","cover"
"77","soul"
"78","funk"
"79","ambient"
"80","indie pop"
"81","progressive house"
"82","dubstep"
"83","electronica"
"84","nederland"
"85","electronic trap"
"86","tropical house"
"87","art pop"
"88","emo rap"
"89","emo"
"90","industrial"
"91","scandipop"
"92","scandinavia"
"93","sverige"
"94","feminism"
"95","conscious hip-hop"
"96","charity"
"97","comedy"
"98","satire"
"99","afrobeats"
"100","climate change"
"101","electro-funk"
"102","funk-pop"
"103","colombia"
"104","nu disco"
"105","disco"
"106","nigeria"
"107","psychedelic soul"
"108","indie rock"
"109","singer-songwriter"
"110","indie"
"111","children&#39;s music"
"112","worship"
"113","christian pop"
"114","christian"
"115","cloud rap"
"116","afro trap"
"117","new wave"
"118","gangsta rap"
"119","girl group"
"120","korean"
"121","k-pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d)"
"122","art rock"
"123","glam rock"
"124","latin trap"
"125","dominican republic"
"126","bachata"
"127","acoustic"
"128","chillhop"
"129","bedroom pop"
"130","youtube"
"131","french pop"
"132","france"
"133","boom bap"
"134","aussie hip-hop"
"135","island music"
"136","tv"
"137","piano"
"138","danmark"
"139","bass music"
"140","reggae"
"141","beef"
"142","instrumental hip-hop"
"143","cuba"
"144","m\xc3\xa9xico"
"145","retro"
"146","theme song"
"147","gaming"
"148","japan"
"149","screamo"
"150","chillstep"
"151","christmas"
"152","rockabilly"
"153","holiday"
"154","alternative metal"
"155","rap rock"
"156","nu-metal"
"157","metal"
"158","interlude"
"159","british rock"
"160","baroque pop"
"161","hard rock"
"162","opera"
"163","orchestral"
"164","progressive rock"
"165","eighties"
"166","halloween"
"167","deutschland"
"168","synth rock"
"169","post-hardcore"
"170","electronic rock"
"171","punk rock"
"172","christian rock"
"173","gospel"
"174","protest songs"
"175","doo-wop"
"176","freestyle"
"177","uk rap"
"178","jazz"
"179","groove metal"
"180","metalcore"
"181","ireland"
"182","world music"
"183","easy listening"
"184","hard bass"
"185","bassline"
"186","new jack swing"
"187","blue-eyed soul"
"188","contemporary folk"
"189","experimental folk"
"190","experimental pop"
"191","americana"
"192","live"
"193","funk rock"
"194","trap metal"
"195","metalrap"
"196","horrorcore"
"197","broadway"
"198","american underground"
"199","fashion"
"200","african languages"
"201","south africa"
"202","bay area"
"203","brasil"
"204","em portugu\xc3\xaas"
"205","deep house"
"206","jamaica"
"207","new zealand"
"208","electro-hop"
"209","politics"
"210","news"
"211","folk rock"
"212","memorial"
"213","blues"
"214","brit pop"
"215","new orleans r&;b"
"216","funk nacional"
"217","football (american)"
"218","celtic"
"219","bossa nova"
"220","g-funk"
"221","race / ethnicity"
"222","religion"
"223","grime"
"224","dirty south"
"225","indie rap"
"226","blues rock"
"227","a cappella"
"228","electro-soul"
"229","p-funk"
"230","glitch"
"231","ragga"
"232","eurodance"
"233","bluegrass"
"234","sports"
"235","psychedelic rock"
"236","dab"
"237","swing"
"238","space rock"
"239","avant garde"
"240","drum &; bass"
"241","experimental rock"
"242","tech"
"243","post-bop"
"244","drill"
"245","the voice"
"246","hyphy"
"247","post-grunge"
"248","jazz-funk"
"249","literature"
"250","synthwave"
"251","civil rights"
"252","deutscher rap"
"253","progressive metal"
"254","non-music"
"255","norge"
"256","shadyxv"
"257","downtempo"
"258","parody"
"259","latin rock"
"260","ska"
"261","japanese"
"262","j-pop"
"263","romanticism literature"
"264","industrial rock"
"265","chill"
"266","dark ambient"
"267","glitch hop"
"268","spanish music"
"269","new age"
"270","polska"
"271","trance"
"272","salsa"
"273","rapcore"
"274","drumstep"
"275","posse cut"
"276","american idol"
"277","english translation"
"278","translation"
"279","philosophy"
"280","chicago drill"
"281","roots"
"282","french r&;b"
"283","post-punk"
"284","sertanejo"
"285","techno"
"286","hi-nrg"
"287","grunge"
"288","italy"
"289","thrash metal"
"290","heavy metal"
"291","portugal"
"292","melodic metalcore"
"293","mashup"
"294","classical music"
"295","merengue"
"296","crunk"
"297","gothic rock"
"298","football (soccer)"
"299","big band"
"300","ska punk"
